Area,Bedrooms,Sales,Price,PΔ1M,PΔ1Q,PΔ6M,PΔ1Y,PΔ3Y,PΔ5Y,PΔ10Y,Rentals,Rent,RΔ1M,RΔ1Q,RΔ6M,RΔ1Y,RΔ3Y,RΔ5Y,RΔ10Y,Yield,CG Low,CG High,ROI Low,ROI High,Rent Increase,Volatility Index,Growth Rate,GRC Index,GRC Minima,GPD 3Y,GPD 5Y,GPD 10Y,GSP 3Y,GSP 5Y,GSP 10Y,future_metric_01,future_metric_02,future_metric_03,IRSAD,RO Ratio,UHV Ratio,UH Ratio,Affordability Index,SoM%,SoM LS,SoM SS,Inventory,Inventory LS,Inventory SS,Hold Period,HP LS,HP SS,BA Ratio,future_metric_04,future_metric_05,DoM,DoM LS,DoM SS,Discounting,Vacancy Rate,VR LS,VR SS,Clearance Rate,CR LS,CR SS,Auctions,Buy SI,Buy SI LS,Buy SI SS,Rent SI,Rent SI LS,Rent SI SS,future_metric_06,future_metric_07,Confidence,Sales Ratio,Rentals Ratio,Population,Dwellings,School Rank,Infra. Spend,future_metric_15,future_metric_16,EDI,MADI,Flood,Bushfire,Lower Risk,Cashflow,Capital Growth,Overall RCS,Nearest GPO,SA4,GCC,State,lga_pid,Data Level,Confidence.1,Property Type,15_Main Dashboard - HtAG Analytics (3).xlsx
"Hurstville, NSW 2220",All,1,2116283,0.0022,0.0033,0.0009,0.0187,0.05309999999999999,0.4757,0.5002,15,800,0.0,0.0013,0.0076,0.05400000000000001,0.3889,0.3491,0.4286,0.0197,-0.05,0.13,-0.03,0.15,0.0075,6,(+)Increasing,172,-0.0803,-0.222,0.1437,-0.2397,0.004699999999999999,-0.0038,-0.0987,0,0,0,7,0.47,0.36,0.7,114.97,0.0018,-0.0003,0.0002,0.63,-0.09,0.04,10.21,1.94,-0.31,0.0124,0,0,39,0.24,5.95,0.0076,0.0211,-0.0073,0.005,0.5312,0.0428,-0.062,8,3,-0.34,0.0,4,0.0,0.0,0,0,Medium,0.01,0.01,31162,14796,64,166,0,0,79,100,100,100,33,24,15,24,14,Sydney - Inner South West,Greater Sydney,NSW,NSW325,Suburbs,2,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Horsfield Bay, NSW 2256",All,0,1250194,0.0037,0.0116,0.0214,0.04769999999999999,0.0503,0.4769,1.0243,0,523,0.0,0.0,0.0,0.0,0.0058,0.0919,0.1345,0.0218,-0.01,0.09,0.01,0.11,0.0,4,(+)Peak,182,-0.0165,-0.2282,-0.0095,-0.2291,0.007800000000000001,-0.1035,-0.0438,0,0,0,10,0.1,0.0,0.01,49.29,0.0095,-0.0005,0.0018,3.0,0.19,0.69,6.68,1.32,0.38,0.0,0,0,99,15.37,35.0,0.0,0.0435,0.0039,-0.0256,0.0,0.0,0.0,0,9,0.82,0.95,7,0.4,0.16,0,0,Low,0.03,0.0,501,222,49,12,0,0,72,98,100,44,3,16,15,11,43,Central Coast,Greater Sydney,NSW,NSW327,Suburbs,1,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Eastlakes, NSW 2018",All,3,2030993,0.0018,0.0034,0.0024,0.013,0.0417,0.3736,0.698,3,914,0.0,0.0,0.0044,0.0077,0.3132,0.3265999999999999,0.4671,0.0234,0.0,0.08,0.02,0.1,0.0005,3,(+)Increasing,178,-0.0418,-0.1895,-0.0212,-0.3035,0.0235,-0.08810000000000001,0.073,0,0,0,4,0.5,0.35,0.66,111.45,0.002,-0.0005,0.0003,0.84,-0.23,0.14,16.09,1.87,2.68,0.001,0,0,39,5.59,-0.09,0.0,0.0241,-0.004500000000000001,0.0054,0.0,0.0395,0.0,2,3,-0.28,0.0,5,0.03,0.12,0,0,Medium,0.01,0.01,6347,3147,59,288,0,0,80,100,100,100,16,19,15,17,7,Sydney - City and Inner S…,Greater Sydney,NSW,NSW335,Suburbs,2,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Rydalmere, NSW 2116",All,3,688647,0.0027,0.0086,0.0145,0.03240000000000001,0.0821,0.1501,0.2507,10,555,0.0,0.0,0.0036,0.0472,0.3278,0.2847,0.3121,0.04190000000000001,-0.01,0.06,0.03,0.11,0.0,2,(+)Decreasing,206,-0.0107,-0.0007000000000000001,0.0046,-0.1795,0.0166,0.0143,0.1055,0,0,0,8,0.42,0.38,0.26,30.66,0.0027,-0.0003,0.0,1.12,-0.27,0.1,8.11,1.24,0.9,0.2101,0,0,101,5.94,19.33,0.0,0.0178,0.001,0.0004,0.0,-0.0331,0.0,1,4,0.2,-0.35,4,-0.02,-0.29,0,0,Medium,0.01,0.04,7274,3621,54,4347,0,0,80,100,99,100,49,23,14,29,17,Sydney - Parramatta,Greater Sydney,NSW,NSW314,Suburbs,2,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
"Pretty Beach, NSW 2257",All,0,2018731,0.0035,0.0106,0.0247,0.0536,0.0003,0.6546,1.3005,0,693,0.0,0.0,0.0,0.0,0.0794,0.2786,0.3353,0.0179,-0.05,0.13,-0.04,0.15,0.0,6,(+)Peak,122,-0.0729,-0.334,0.0432,-0.3302,-0.04219999999999999,0.0742,0.2324,0,0,0,10,0.13,0.0,0.0,95.56,0.0066,0.0009,0.0005,3.67,0.74,0.62,8.33,0.88,1.68,0.0,0,0,131,16.25,40.88,0.0,0.0625,0.0075,-0.008100000000000001,0.0,0.0,0.0,0,9,0.14,0.84,6,0.19,0.29,0,0,Low,0.02,0.0,314,255,67,124,0,0,78,100,98,100,76,17,14,36,40,Central Coast,Greater Sydney,NSW,NSW327,Suburbs,1,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Old Guildford, NSW 2161",All,0,1313570,0.0061,0.0211,0.0471,0.1107,0.2091,0.629,0.9420999999999999,2,542,0.0,0.0,0.0018,0.0226,0.2018,0.2693,0.355,0.0215,-0.02,0.1,0.0,0.13,0.0,4,(+)Decreasing,200,-0.0229,-0.0746,0.1543,-0.2048,0.0035,-0.0348,0.0179,0,0,0,2,0.33,0.0,0.06,87.84,0.0021,0.0,0.0,2.86,1.01,-0.06,11.58,1.9,1.34,0.0072,0,0,44,1.61,11.61,0.0,0.0208,-0.0033,0.0051,0.0,0.0,0.0,1,5,-0.24,0.33,5,0.09,0.18,0,0,Low,0.01,0.03,2857,877,45,502,0,0,70,100,100,100,16,24,14,18,21,Sydney - Parramatta,Greater Sydney,NSW,NSW295,Suburbs,1,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Guildford, NSW 2161",4,3,1208630,0.0027,0.0069,0.0128,0.0479,0.1583,0.5045000000000001,0.5254,6,801,0.0,0.0,0.0012,0.03759999999999999,0.3395,0.2816,0.4432,0.0345,-0.06,0.08,-0.02,0.11,0.0046,4,(+)Increasing,188,-0.0958,-0.1049,0.1226,-0.4247,-0.0295,-0.026,-0.076,0,0,0,2,0.47,0.4,0.34,80.95,0.0011,-0.0005,-0.0003,0.36,-0.19,-0.12,10.53,1.71,-0.35,0.0148,0,0,53,4.63,11.76,0.0,0.0189,-0.006999999999999999,0.0023,0.7857,0.0177,-0.0194,1,3,-0.34,0.0,4,0.33,-0.12,0,0,High,0.02,0.03,24091,9215,48,861,0,0,78,100,100,100,34,37,13,28,20,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Guildford, NSW 2161",3,1,1161123,0.0028,0.0072,0.0133,0.0499,0.1658,0.5362,0.5589,11,666,0.0015,0.0091,0.0293,0.0723,0.3612,0.4042,0.4659,0.0298,-0.06,0.08,-0.03,0.11,0.0063,4,(+)Increasing,188,-0.0958,-0.1049,0.1226,-0.4247,-0.0295,-0.026,-0.076,0,0,0,2,0.47,0.4,0.34,77.17,0.0011,-0.0005,-0.0003,0.36,-0.19,-0.12,10.53,1.71,-0.35,0.0148,0,0,53,4.63,11.76,0.0,0.0189,-0.006999999999999999,0.0023,0.7857,0.0177,-0.0194,1,3,-0.34,0.0,4,0.33,-0.12,0,0,High,0.02,0.03,24091,9215,48,861,0,0,78,100,100,100,34,37,13,28,20,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Guildford, NSW 2161",2,0,1117379,0.0029,0.0074,0.0138,0.052,0.1735,0.5692,0.5937,5,528,0.0,0.0019,0.0115,0.04969999999999999,0.32,0.3233,0.3134,0.0246,-0.05,0.08,-0.03,0.1,0.0026,4,(+)Increasing,188,-0.0958,-0.1049,0.1226,-0.4247,-0.0295,-0.026,-0.076,0,0,0,2,0.47,0.4,0.34,74.82,0.0011,-0.0005,-0.0003,0.36,-0.19,-0.12,10.53,1.71,-0.35,0.0148,0,0,53,4.63,11.76,0.0,0.0189,-0.006999999999999999,0.0023,0.7857,0.0177,-0.0194,1,3,-0.34,0.0,4,0.33,-0.12,0,0,High,0.02,0.03,24091,9215,48,861,0,0,78,100,100,100,34,37,13,28,20,Sydney - Parramatta,Greater Sydney,NSW,NSW315,Suburbs,3,Houses,15_Main Dashboard - HtAG Analytics (3).xlsx
"Canley Vale, NSW 2166",All,4,415025,0.0025,0.0066,0.0113,0.0379,0.0218,0.1193,0.1478,9,418,0.0,0.0097,0.0321,0.08289999999999999,0.1977,0.1709,0.2941,0.0524,-0.01,0.07,0.05,0.12,0.0,2,(+)Increasing,162,-0.0713,-0.0377,0.0164,-0.3603,-0.0248,-0.0404,-0.0394,0,0,0,1,0.41,0.28,0.35,27.98,0.0013,-0.0004,-0.0008,0.56,-0.77,-0.41,8.2,1.1,0.21,0.0,0,0,49,1.48,6.43,0.0192,0.0097,-0.0073,0.0017,0.0,0.0,0.0,1,3,-0.34,0.0,3,-0.37,-0.06,0,0,Medium,0.01,0.03,10300,3785,57,96,0,0,60,99,94,100,4,54,13,24,24,Sydney - South West,Greater Sydney,NSW,NSW295,Suburbs,2,Units,15_Main Dashboard - HtAG Analytics (3).xlsx
